15,250 – 15,749.99	15,500	–	15,500	1,472.50	697.50	2,170	30	–	30	–	–	–	1,502.50	697.50	2,200
15,750 – 16,249.99	16,000	–	16,000	1,520	720	2,240	30	–	30	–	–	–	1,550	720	2,270
16,250 – 16,749.99	16,500	–	16,500	1,567.50	742.50	2,310	30	–	30	–	–	–	1,597.50	742.50	2,340
16,750 – 17,249.99	17,000	–	17,000	1,615	765	2,380	30	–	30	–	–	–	1,645	765	2,410
17,250 – 17,749.99	17,500	–	17,500	1,662.50	787.50	2,450	30	–	30	–	–	–	1,692.50	787.50	2,480
17,750 – 18,249.99	18,000	–	18,000	1,710	810	2,520	30	–	30	–	–	–	1,720	810	2,550
18,250 – 18,749.99	18,500	–	18,500	1,757.50	832.50	2,590	30	–	30	–	–	–	1,787.50	832.50	2,620
18,750 – 19,249.99	19,000	–	19,000	1,805	855	2,660	30	–	30	–	–	–	1,835	855	2,690
19,250 – 19,749.99	19,500	–	19,500	1,852.50	877.50	2,730	30	–	30	–	–	–	1,882.50	877.50	2,760
19,750 – 20,249.99	20,000	–	20,000	1,900	900	2,800	30	–	30	–	–	–	1,930	900	2,830
20,250 – 20,749.99	20,000	500	20,500	1,900	900	2,800	30	–	30	47.50	22.50	70	1,977.50	922.50	2,900
20,750 – 21,249.99	20,000	1,000	21,000	1,900	900	2,800	30	–	30	95	45	140	2,025	945	2,970
21,250 – 21,749.99	20,000	1,500	21,500	1,900	900	2,800	30	–	30	142.50	67.50	210	2,072.50	967.50	3,040
21,750 – 22,249.99	20,000	2,000	22,000	1,900	900	2,800	30	–	30	190	90	280	2,120	990	3,110
22,250 – 22,749.99	20,000	2,500	22,500	1,900	900	2,800	30	–	30	237.50	112.50	350	2,167.50	1,012.50	3,180
22,750 – 23,249.99	20,000	3,000	23,000	1,900	900	2,800	30	–	30	285	135	420	2,215	1,035	3,250
23,250 – 23,749.99	20,000	3,500	23,500	1,900	900	2,800	30	–	30	332.50	157.50	490	2,262.50	1,057.50	3,320
23,750 – 24,249.99	20,000	4,000	24,000	1,900	900	2,800	30	–	30	380	180	560	2,310	1,080	3,390
24,250 – 24,749.99	20,000	4,500	24,500	1,900	900	2,800	30	–	30	427.50	202.50	630	2,257.50	1,102.50	3,460
24,750 – 25,249.99	20,000	5,000	25,000	1,900	900	2,800	30	–	30	475	225	700	2,405	1,125	3,530
25,250 – 25,749.99	20,000	5,500	25,500	1,900	900	2,800	30	–	30	522.50	247.50	770	2,452.50	1,147	3,600
25,750 – 26,249.99	20,000	6,000	26,000	1,900	900	2,800	30	–	30	570	270	840	2,500	1,170	3,670
26,250 – 26,749.99	20,000	6,500	26,500	1,900	900	2,800	30	–	30	617.50	292.50	910	2,547.50	1,192.50	3,740
26,750 – 27,249.99	20,000	7,000	27,000	1,900	900	2,800	30	–	30	665	315	980	2,595	1,215	3,810
27,250 – 27,749.99	20,000	7,500	27,500	1,900	900	2,800	30	–	30	712.50	337.50	1,050	2,642.50	1,237.50	3,880
27,750 – 28,249.99	20,000	8,000	28,000	1,900	900	2,800	30	–	30	760	360	1,120	2,690	1,260	3,950
28,250 – 28,749.99	20,000	8,500	28,500	1,900	900	2,800	30	–	30	807.50	382.50	1,190	2,737.50	1,282.50	4,020
28,750 – 29,249.99	20,000	9,000	29,000	1,900	900	2,800	30	–	30	855	405	1,260	2,785	1,305	4,090
29,250 – 29,749.99	20,000	9,500	29,500	1,900	900	2,800	30	–	30	902.50	427.50	1,330	2,832.50	1,327.50	4,160
29,750 – Over	20,000	10,000	30,000	1,900	900	2,800	30	–	30	950	450	1,400	2,880	1,350	4,230
